9;2;15;3,39.34,2.02780996524e-05
16;8;3;1,174.57,2.89687137891e-06
16;6;15;10,18.15,1.44843568946e-05
9;2;15;6,32.64,2.02780996524e-05
14;6;20;10,23.58,2.89687137891e-06
9;2;15;4,69.84,1.44843568946e-05
9;2;15;5,24.39,1.44843568946e-05
9;5;0;4,80.8,2.89687137891e-06
9;2;15;8,52.05,3.1865585168e-05
9;2;15;9,66.64,6.08342989571e-05
13;8;13;8,0.27,0.000709733487833
13;8;13;9,1.18,0.000608342989571
8;6;11;0,21.96,2.89687137891e-06
3;0;11;3,65.94,1.44843568946e-05
13;8;13;2,38.76,2.60718424102e-05
13;8;13;3,17.19,3.47624565469e-05
13;8;13;4,21.14,0.000139049826188
3;0;11;7,37.3,2.60718424102e-05
13;8;13;6,2.68,0.000289687137891
13;8;13;7,0.41,0.000446118192352
0;3;12;1,175.68,5.79374275782e-06
8;5;16;9,28.53,8.69061413673e-06
8;5;16;8,67.45,2.89687137891e-06
8;5;16;7,63.24,1.15874855156e-05
12;6;12;8,5.5,0.000124565469293
8;5;16;5,42.24,3.76593279258e-05
8;5;16;4,96.0,2.89687137891e-06
18;6;11;8,101.04,5.79374275782e-06
12;6;12;9,4.95,4.92468134415e-05
11;3;12;10,53.9,4.92468134415e-05
2;9;11;1,182.58,2.89687137891e-06
17;10;5;1,205.9,8.69061413673e-06
11;2;14;10,131.92,2.89687137891e-06
17;5;8;5,107.25,5.79374275782e-06
19;7;11;1,67.05,3.1865585168e-05
4;3;13;3,97.68,2.89687137891e-06
8;6;11;8,4.32,8.98030127462e-05
10;1;7;4,14.28,1.15874855156e-05
10;1;7;5,15.1,8.69061413673e-06
10;1;7;0,2.84,2.89687137891e-06
19;7;11;3,7.77,2.02780996524e-05
10;1;7;2,19.0,3.47624565469e-05
10;1;7;3,8.76,5.21436848204e-05
7;1;16;6,79.4,1.73812282735e-05
19;7;11;2,63.15,4.05561993048e-05
12;6;12;0,45.6,8.69061413673e-06
2;7;3;3,3.24,2.89687137891e-06
5;6;11;7,18.305,2.89687137891e-06
7;1;16;4,64.95,5.79374275782e-06
19;7;11;4,87.12,4.34530706837e-05
0;3;4;2,27.36,1.44843568946e-05
12;6;12;2,13.41,1.73812282735e-05
12;6;12;3,7.11,7.53186558517e-05
9;1;7;5,5.4,6.95249130939e-05
13;2;10;4,18.63,6.66280417149e-05
11;2;18;7,21.6,8.69061413673e-06
11;2;18;6,25.47,1.44843568946e-05
12;4;13;3,403.59,0.000141946697567
12;4;13;2,4.3,0.00063731170336
12;4;13;1,2.52,3.76593279258e-05
12;4;13;7,11.68,0.000139049826188
12;4;13;6,3.48,0.000324449594438
12;4;13;5,5.28,0.000283893395133
12;4;13;4,0.7,0.000321552723059
9;1;7;1,3.135,9.26998841251e-05
12;4;13;9,30.03,5.21436848204e-05
12;4;13;8,12.87,8.98030127462e-05
13;2;10;0,12.11,2.31749710313e-05
15;9;17;5,12.32,6.08342989571e-05
15;9;17;4,22.75,2.89687137891e-06
15;9;17;7,3.52,0.000220162224797
15;9;17;6,5.56,0.00013325608343
9;1;7;3,10.17,8.98030127462e-05
8;0;15;9,53.43,8.69061413673e-06
9;1;7;2,5.2,0.000168018539977
15;9;17;9,8.25,4.05561993048e-05
15;9;17;8,2.61,2.89687137891e-06
10;5;20;7,82.98,5.79374275782e-06
8;5;13;10,26.2,2.02780996524e-05
12;8;3;6,84.7,2.89687137891e-06
12;8;3;4,19.46,2.89687137891e-06
12;8;3;3,81.6,1.15874855156e-05
12;8;3;2,61.32,3.1865585168e-05
12;8;3;1,213.5,2.89687137891e-05
12;8;3;0,117.2,2.31749710313e-05
11;2;10;3,0.82,0.000309965237543
11;2;10;2,2.44,0.000217265353418
11;2;10;1,0.57,0.000217265353418
11;2;10;0,3.08,0.000101390498262
11;2;10;7,9.17,3.76593279258e-05
11;2;10;6,20.9,0.000136152954809
11;2;10;5,7.44,0.000373696407879
11;2;10;4,16.72,0.000260718424102
10;1;16;10,25.8,2.89687137891e-06
0;4;12;9,74.91,5.79374275782e-06
11;4;12;3,3.76,8.11123986095e-05
11;4;12;2,1.08,0.000202780996524
11;4;12;1,3.24,0.00061123986095
10;3;3;9,68.64,5.79374275782e-06
11;4;12;7,5.8,0.000269409038239
11;4;12;6,4.76,0.000472190034762
14;3;15;4,2.13,0.000237543453071
11;4;12;4,18.4,0.000156431054461
10;3;3;2,52.56,2.02780996524e-05
10;3;3;3,69.3,8.69061413673e-06
14;3;15;8,12.25,3.76593279258e-05
10;3;3;1,49.76,4.92468134415e-05
10;3;3;4,45.63,2.89687137891e-06
10;3;3;5,101.08,2.89687137891e-06
10;6;16;6,28.1,4.92468134415e-05
10;1;16;8,86.71,2.89687137891e-06
11;8;5;5,38.35,2.89687137891e-06
14;5;15;10,19.08,1.15874855156e-05
8;6;20;9,70.28,2.89687137891e-06
13;8;13;1,44.46,2.89687137891e-06
3;0;11;0,47.04,2.89687137891e-06
15;3;13;7,12.18,0.000101390498262
15;3;13;6,27.72,0.000147740440324
15;3;13;5,7.56,0.000246234067207
15;3;13;4,2.97,0.000333140208575
15;3;13;3,6.54,4.63499420626e-05
15;3;13;2,1.86,6.66280417149e-05
15;4;12;10,30.8,1.44843568946e-05
3;0;11;6,74.48,4.63499420626e-05
15;3;13;9,19.2,3.1865585168e-05
15;3;13;8,11.48,6.3731170336e-05
14;5;13;10,15.57,3.1865585168e-05
3;0;11;1,78.5,5.79374275782e-06
13;10;19;9,55.26,2.89687137891e-06
3;0;11;4,64.94,3.47624565469e-05
2;9;11;8,111.32,2.89687137891e-06
7;0;3;3,51.8,2.89687137891e-06
3;0;11;5,60.12,1.44843568946e-05
13;10;19;6,60.66,2.89687137891e-06
13;10;19;7,26.73,2.89687137891e-06
11;6;11;6,0.78,0.00134994206257
11;6;11;7,1.23,0.000356315179606
11;6;11;4,3.48,0.000576477404403
11;6;11;5,2.13,0.000561993047509
11;6;11;2,9.36,0.00010718424102
11;6;11;3,8.68,0.000402665121669
11;6;11;0,26.4,5.79374275782e-05
11;6;11;1,21.6,0.000646002317497
7;5;14;4,75.8,2.60718424102e-05
7;5;14;5,38.2,8.69061413673e-06
7;5;14;6,83.58,2.89687137891e-06
9;7;13;8,8.76,2.60718424102e-05
11;6;11;8,5.28,0.000141946697567
11;6;11;9,13.86,2.89687137891e-06
1;0;4;3,10.8,5.79374275782e-06
1;0;4;2,16.06,1.15874855156e-05
1;0;4;1,13.5,1.44843568946e-05
1;0;4;0,19.2,2.89687137891e-06
1;0;4;6,11.1,2.89687137891e-06
9;7;13;6,14.74,8.69061413673e-06
11;5;12;8,12.4,3.76593279258e-05
11;5;12;9,0.7,3.76593279258e-05
13;9;3;5,82.8,8.69061413673e-06
8;0;11;9,53.4,2.89687137891e-06
13;2;8;3,30.8,7.82155272306e-05
13;2;8;2,23.31,6.08342989571e-05
13;2;8;1,29.12,3.1865585168e-05
11;5;12;3,1.95,7.53186558517e-05
8;0;11;3,6.05,0.000112977983778
11;5;12;5,6.48,0.0011674391657
